002748	 cycle: 	7	 failed: 	55	 success: 	1
002748	 cycle: 	8	 failed: 	13	 success: 	1
002748	 cycle: 	9	 failed: 	75	 success: 	4
002748	 cycle: 	10	 failed: 	10	 success: 	2
002748	 cycle: 	11	 failed: 	78	 success: 	3
002748	 cycle: 	12	 failed: 	42	 success: 	3
002748	 cycle: 	13	 failed: 	31	 success: 	2
002748	 cycle: 	16	 failed: 	34	 success: 	4
002748	 cycle: 	17	 failed: 	47	 success: 	2
002748	 cycle: 	20	 failed: 	48	 success: 	2






002742	 cycle: 	7	 failed: 	2	 success: 	1
002742	 cycle: 	9	 failed: 	13	 success: 	1
002742	 cycle: 	10	 failed: 	78	 success: 	8
002742	 cycle: 	11	 failed: 	0	 success: 	1
002742	 cycle: 	12	 failed: 	19	 success: 	1
002742	 cycle: 	13	 failed: 	37	 success: 	3
002742	 cycle: 	16	 failed: 	12	 success: 	2
002742	 cycle: 	17	 failed: 	7	 success: 	1
002742	 cycle: 	18	 failed: 	10	 success: 	2
002742	 cycle: 	20	 failed: 	0	 success: 	1



002746	 cycle: 	7	 failed: 	70	 success: 	3
002746	 cycle: 	8	 failed: 	41	 success: 	2
002746	 cycle: 	9	 failed: 	39	 success: 	4
002746	 cycle: 	10	 failed: 	44	 success: 	2
002746	 cycle: 	11	 failed: 	33	 success: 	4
002746	 cycle: 	12	 failed: 	40	 success: 	2
002746	 cycle: 	13	 failed: 	19	 success: 	3
002746	 cycle: 	14	 failed: 	2	 success: 	4
002746	 cycle: 	15	 failed: 	18	 success: 	3
002746	 cycle: 	16	 failed: 	13	 success: 	2
002746	 cycle: 	17	 failed: 	19	 success: 	4
002746	 cycle: 	20	 failed: 	12	 success: 	1



002745	 cycle: 	8	 failed: 	12	 success: 	2
002745	 cycle: 	9	 failed: 	10	 success: 	3
002745	 cycle: 	10	 failed: 	8	 success: 	1
002745	 cycle: 	11	 failed: 	10	 success: 	1
002745	 cycle: 	12	 failed: 	0	 success: 	1
002745	 cycle: 	13	 failed: 	1	 success: 	2
002745	 cycle: 	14	 failed: 	2	 success: 	1
002745	 cycle: 	16	 failed: 	20	 success: 	2
002745	 cycle: 	17	 failed: 	11	 success: 	3
002745	 cycle: 	19	 failed: 	1	 success: 	1
002745	 cycle: 	20	 failed: 	4	 success: 	1



002740	 cycle: 	7	 failed: 	32	 success: 	3
002740	 cycle: 	8	 failed: 	53	 success: 	3
002740	 cycle: 	9	 failed: 	15	 success: 	2
002740	 cycle: 	10	 failed: 	12	 success: 	1
002740	 cycle: 	11	 failed: 	39	 success: 	3
002740	 cycle: 	12	 failed: 	7	 success: 	1
002740	 cycle: 	13	 failed: 	16	 success: 	1
002740	 cycle: 	14	 failed: 	12	 success: 	2
002740	 cycle: 	15	 failed: 	32	 success: 	3
002740	 cycle: 	16	 failed: 	9	 success: 	2
002740	 cycle: 	17	 failed: 	0	 success: 	3
002740	 cycle: 	18	 failed: 	0	 success: 	1
002740	 cycle: 	19	 failed: 	9	 success: 	2






002749	 cycle: 	7	 failed: 	44	 success: 	1
002749	 cycle: 	8	 failed: 	31	 success: 	1



002741	 cycle: 	7	 failed: 	36	 success: 	3
002741	 cycle: 	8	 failed: 	1	 success: 	1
002741	 cycle: 	9	 failed: 	42	 success: 	2
002741	 cycle: 	10	 failed: 	2	 success: 	3
002741	 cycle: 	11	 failed: 	5	 success: 	3
002741	 cycle: 	15	 failed: 	20	 success: 	4
002741	 cycle: 	16	 failed: 	2	 success: 	4
002741	 cycle: 	17	 failed: 	19	 success: 	2
002741	 cycle: 	18	 failed: 	2	 success: 	1
002741	 cycle: 	20	 failed: 	24	 success: 	3



002743	 cycle: 	8	 failed: 	9	 success: 	3
002743	 cycle: 	10	 failed: 	25	 success: 	2
002743	 cycle: 	12	 failed: 	15	 success: 	2
002743	 cycle: 	13	 failed: 	2	 success: 	1
002743	 cycle: 	14	 failed: 	44	 success: 	5
002743	 cycle: 	15	 failed: 	29	 success: 	2
002743	 cycle: 	16	 failed: 	4	 success: 	2
002743	 cycle: 	19	 failed: 	7	 success: 	1



002739	 cycle: 	7	 failed: 	51	 success: 	3
002739	 cycle: 	8	 failed: 	7	 success: 	1
002739	 cycle: 	9	 failed: 	21	 success: 	2
002739	 cycle: 	10	 failed: 	14	 success: 	3
002739	 cycle: 	11	 failed: 	5	 success: 	1
002739	 cycle: 	12	 failed: 	31	 success: 	2
002739	 cycle: 	15	 failed: 	14	 success: 	1
002739	 cycle: 	16	 failed: 	6	 success: 	2
002739	 cycle: 	17	 failed: 	12	 success: 	1
002739	 cycle: 	18	 failed: 	1	 success: 	1
002739	 cycle: 	19	 failed: 	0	 success: 	2
002739	 cycle: 	20	 failed: 	14	 success: 	2



